Upper Body Strength,Equipment,core,Bench Press,Barbell Standing Shoulders Press,Dumbbell Arnold Press,,,,,
Basic Strength,Body,core,Push Up,Chest Dip,Chin Up,Shoulder Grip Pull Up,,,,
Leg Day,Equipment,leg,Sit Squat,Barbell  Squat,Bodyweight Standing Calf Raise,Smith Calf Raise,Bodyweight Bulgarian Split Squat,Side Lunge,Lying Floor Leg Raise,
Basic Stretching,Body,core,Chin to Chest Stretch,Crunchy Frog on Floor,Side Lunge,Sit Squat,Lying Floor Leg Raise,Bench Dip on Floor,,Hyperextension (on bench)
